id_proyecto,region,tipo_via,estado,contrato_soles,avance_pct,cpi,spi,_ingested_at,_source
PRY-0001,Tacna,Trocha,en ejecucion,12353072.32,63.4,1.019,0.986,20260405_211439,sqlserver_indumaq
PRY-0002,arequipa,Regional,en ejecucion,11651181.42,95.5,0.97,1.055,20260405_211439,sqlserver_indumaq
PRY-0003,,Bypass,Planificado,10329477.06,26.0,0.948,0.91,20260405_211439,sqlserver_indumaq
PRY-0004,Arequipa,??,NULL,5137591.4,15.4,1.088,1.116,20260405_211439,sqlserver_indumaq
PRY-0005,Moquegua,Regional,NULL,3348539.38,31.2,0.882,0.896,20260405_211439,sqlserver_indumaq
PRY-0006,Moquegua,Carretera Nacional,NULL,10237151.6,25.8,0.98,0.825,20260405_211439,sqlserver_indumaq
PRY-0007,Moquegua,??,En ejecución,12723112.8,75.7,0.873,0.758,20260405_211439,sqlserver_indumaq
PRY-0008,arequipa,Carretera Nacional,En ejecución,735665.44,73.3,0.888,0.97,20260405_211439,sqlserver_indumaq
PRY-0009,Puno,Carretera Nacional,En ejecución,9820648.94,67.0,0.759,1.007,20260405_211439,sqlserver_indumaq
PRY-0010,Moquegua,Carretera Nacional,Concluido,6921658.86,999.0,1.014,0.953,20260405_211439,sqlserver_indumaq
PRY-0011,,Carretera Nacional,en ejecucion,13522272.45,86.2,0.927,0.864,20260405_211439,sqlserver_indumaq
PRY-0012,Cusco,Regional,en ejecucion,5161357.5,95.7,0.898,1.014,20260405_211439,sqlserver_indumaq
PRY-0013,Tacna,Carretera Nacional,Paralizado,7375679.78,53.2,1.068,0.791,20260405_211439,sqlserver_indumaq
PRY-0014,arequipa,Puente,Paralizado,7964123.01,64.9,1.218,0.915,20260405_211439,sqlserver_indumaq
PRY-0015,AREQUIPA,Regional,Concluido,2536373.06,50.1,1.094,0.855,20260405_211439,sqlserver_indumaq
PRY-0016,Arequipa,Bypass,Concluido,10836938.39,28.4,0.877,1.131,20260405_211439,sqlserver_indumaq
PRY-0017,Arequipa,Regional,en ejecucion,12541907.0,28.6,0.808,0.971,20260405_211439,sqlserver_indumaq
PRY-0018,Tacna,Trocha,NULL,1339684.51,31.3,0.817,1.089,20260405_211439,sqlserver_indumaq
PRY-0019,Cusco,Bypass,Paralizado,4725137.9,19.1,0.803,0.916,20260405_211439,sqlserver_indumaq
PRY-0020,Puno,Carretera Nacional,NULL,1051647.88,90.2,1.355,0.892,20260405_211439,sqlserver_indumaq
PRY-0021,AREQUIPA,Carretera Nacional,Planificado,14369889.52,85.8,0.772,1.001,20260405_211439,sqlserver_indumaq
PRY-0022,arequipa,Trocha,En ejecución,10173947.9,46.2,0.922,1.047,20260405_211439,sqlserver_indumaq
PRY-0023,arequipa,??,en ejecucion,14480906.08,36.7,0.694,1.104,20260405_211439,sqlserver_indumaq
PRY-0024,AREQUIPA,Carretera Nacional,Planificado,8206667.04,93.9,0.955,1.063,20260405_211439,sqlserver_indumaq
PRY-0025,Arequipa,Bypass,Concluido,12129993.6,22.2,1.172,1.127,20260405_211439,sqlserver_indumaq
PRY-0026,Puno,Bypass,En ejecución,5929002.77,55.4,0.848,1.076,20260405_211439,sqlserver_indumaq
PRY-0027,,Bypass,Concluido,5630375.97,5.4,1.193,1.006,20260405_211439,sqlserver_indumaq
PRY-0028,Puno,Regional,Paralizado,5984883.35,19.1,0.704,1.202,20260405_211439,sqlserver_indumaq
PRY-0029,,Regional,NULL,10039000.94,60.4,0.871,0.85,20260405_211439,sqlserver_indumaq
PRY-0030,Arequipa,Bypass,Planificado,5712070.69,66.2,1.178,1.089,20260405_211439,sqlserver_indumaq
PRY-0031,Puno,Regional,NULL,13555328.05,999.0,0.811,0.636,20260405_211439,sqlserver_indumaq
PRY-0032,Tacna,??,En ejecución,14757485.54,999.0,0.897,0.856,20260405_211439,sqlserver_indumaq
PRY-0033,Moquegua,Regional,En ejecución,941184.47,99.3,1.058,0.852,20260405_211439,sqlserver_indumaq
PRY-0034,Arequipa,Puente,Concluido,3307537.71,76.4,1.025,0.803,20260405_211439,sqlserver_indumaq
PRY-0035,Moquegua,??,NULL,2127624.89,46.5,1.108,0.911,20260405_211439,sqlserver_indumaq
PRY-0036,,Regional,en ejecucion,1114278.68,83.4,0.848,0.883,20260405_211439,sqlserver_indumaq
PRY-0037,AREQUIPA,Puente,Planificado,3802244.4,12.0,1.147,0.834,20260405_211439,sqlserver_indumaq
PRY-0038,arequipa,??,En ejecución,6978503.15,999.0,1.026,0.904,20260405_211439,sqlserver_indumaq
PRY-0039,arequipa,Puente,En ejecución,12636360.3,51.8,1.176,0.844,20260405_211439,sqlserver_indumaq
PRY-0040,Arequipa,Regional,NULL,3716448.44,17.8,0.869,0.834,20260405_211439,sqlserver_indumaq
PRY-0041,Cusco,Regional,Paralizado,7662206.21,97.3,0.829,0.85,20260405_211439,sqlserver_indumaq
PRY-0042,Moquegua,Regional,Planificado,13979471.72,33.8,0.923,0.785,20260405_211439,sqlserver_indumaq
PRY-0043,Arequipa,Carretera Nacional,Planificado,10174613.25,61.5,0.666,0.983,20260405_211439,sqlserver_indumaq
PRY-0044,Puno,Puente,En ejecución,12072145.79,87.9,1.264,0.848,20260405_211439,sqlserver_indumaq
PRY-0045,Moquegua,Carretera Nacional,NULL,8489412.57,50.7,1.02,0.831,20260405_211439,sqlserver_indumaq
PRY-0046,,Bypass,Planificado,14716763.65,11.5,0.906,0.889,20260405_211439,sqlserver_indumaq
PRY-0047,Moquegua,Regional,Planificado,9035601.24,81.9,0.885,0.784,20260405_211439,sqlserver_indumaq
PRY-0048,Moquegua,Bypass,En ejecución,-999.0,35.3,0.933,0.973,20260405_211439,sqlserver_indumaq
PRY-0049,AREQUIPA,??,En ejecución,3370750.6,98.3,0.767,1.137,20260405_211439,sqlserver_indumaq
PRY-0050,arequipa,Carretera Nacional,Concluido,6369217.62,999.0,0.665,0.844,20260405_211439,sqlserver_indumaq
PRY-0051,Arequipa,Puente,NULL,9218519.0,85.3,0.998,0.856,20260405_211439,sqlserver_indumaq
PRY-0052,Puno,Trocha,Concluido,11692997.58,35.6,1.008,1.062,20260405_211439,sqlserver_indumaq
PRY-0053,Puno,Regional,NULL,6489748.83,75.7,1.021,0.9,20260405_211439,sqlserver_indumaq
PRY-0054,Puno,Bypass,Concluido,10795845.42,98.6,0.887,0.923,20260405_211439,sqlserver_indumaq
PRY-0055,arequipa,Bypass,Concluido,11953107.8,52.6,0.835,0.872,20260405_211439,sqlserver_indumaq
PRY-0056,Arequipa,Bypass,Planificado,5100272.86,47.1,0.767,0.988,20260405_211439,sqlserver_indumaq
PRY-0057,arequipa,Carretera Nacional,Paralizado,14699418.48,1.5,1.029,0.787,20260405_211439,sqlserver_indumaq
PRY-0058,Cusco,Carretera Nacional,En ejecución,9920019.18,70.0,0.984,1.042,20260405_211439,sqlserver_indumaq
PRY-0059,Tacna,Trocha,En ejecución,-999.0,85.8,1.133,1.039,20260405_211439,sqlserver_indumaq
PRY-0060,arequipa,??,en ejecucion,8561096.49,24.7,0.946,0.956,20260405_211439,sqlserver_indumaq
PRY-0061,Moquegua,Carretera Nacional,Paralizado,11253245.05,31.5,1.042,1.037,20260405_211439,sqlserver_indumaq
PRY-0062,AREQUIPA,Puente,NULL,-999.0,50.1,1.115,0.867,20260405_211439,sqlserver_indumaq
PRY-0063,Moquegua,Puente,Paralizado,13669601.5,7.2,1.082,0.913,20260405_211439,sqlserver_indumaq
PRY-0064,Cusco,Bypass,En ejecución,2680071.47,9.0,0.847,1.003,20260405_211439,sqlserver_indumaq
PRY-0065,arequipa,Regional,Paralizado,-999.0,42.1,0.823,0.897,20260405_211439,sqlserver_indumaq
PRY-0066,Tacna,Bypass,NULL,6711488.44,26.1,1.193,1.012,20260405_211439,sqlserver_indumaq
PRY-0067,Cusco,Puente,en ejecucion,13885805.81,40.6,0.853,0.875,20260405_211439,sqlserver_indumaq
PRY-0068,Arequipa,Puente,Planificado,2023873.07,45.4,1.065,1.048,20260405_211439,sqlserver_indumaq
PRY-0069,Arequipa,Puente,NULL,14747321.39,97.6,1.345,0.949,20260405_211439,sqlserver_indumaq
PRY-0070,Tacna,Bypass,Concluido,13194044.2,94.4,0.822,1.034,20260405_211439,sqlserver_indumaq
PRY-0071,,Trocha,en ejecucion,1570481.08,14.0,1.006,0.819,20260405_211439,sqlserver_indumaq
PRY-0072,,Regional,NULL,-999.0,88.3,0.963,0.855,20260405_211439,sqlserver_indumaq
PRY-0073,AREQUIPA,Trocha,NULL,10904612.75,999.0,0.874,1.174,20260405_211439,sqlserver_indumaq
PRY-0074,Arequipa,Trocha,Concluido,11203197.41,50.8,0.838,0.97,20260405_211439,sqlserver_indumaq
PRY-0075,Tacna,Regional,En ejecución,13644164.82,16.4,0.802,0.843,20260405_211439,sqlserver_indumaq
PRY-0076,Puno,Puente,Planificado,12098048.82,36.6,1.07,0.994,20260405_211439,sqlserver_indumaq
PRY-0077,arequipa,Puente,en ejecucion,5008490.51,74.3,0.896,0.64,20260405_211439,sqlserver_indumaq
PRY-0078,Tacna,Bypass,Paralizado,7727304.4,42.5,1.08,1.093,20260405_211439,sqlserver_indumaq
PRY-0079,Puno,Bypass,Planificado,10675893.56,80.7,1.129,0.961,20260405_211439,sqlserver_indumaq
PRY-0080,Cusco,Trocha,en ejecucion,2507334.2,71.9,1.003,0.759,20260405_211439,sqlserver_indumaq
PRY-0081,Cusco,Regional,Planificado,3312866.57,94.3,1.01,0.963,20260405_211439,sqlserver_indumaq
PRY-0082,arequipa,Regional,En ejecución,7475115.5,53.4,0.918,0.719,20260405_211439,sqlserver_indumaq
PRY-0083,Arequipa,Carretera Nacional,Paralizado,4824564.08,80.2,1.21,0.933,20260405_211439,sqlserver_indumaq
PRY-0084,Puno,Carretera Nacional,Concluido,13007109.12,32.3,1.23,0.928,20260405_211439,sqlserver_indumaq
PRY-0085,Puno,Trocha,Concluido,9001021.16,34.6,0.86,1.061,20260405_211439,sqlserver_indumaq
PRY-0086,arequipa,Bypass,NULL,5555645.37,40.1,0.787,0.738,20260405_211439,sqlserver_indumaq
PRY-0087,Puno,Puente,Concluido,12808078.87,41.1,0.857,0.967,20260405_211439,sqlserver_indumaq
PRY-0088,Puno,??,NULL,12170737.5,10.3,0.941,0.823,20260405_211439,sqlserver_indumaq
PRY-0089,Moquegua,Puente,en ejecucion,14976145.72,51.9,0.914,1.117,20260405_211439,sqlserver_indumaq
PRY-0090,AREQUIPA,Trocha,Planificado,12785961.48,9.7,0.913,0.746,20260405_211439,sqlserver_indumaq
PRY-0091,arequipa,Regional,Paralizado,6509619.75,89.0,1.158,0.985,20260405_211439,sqlserver_indumaq
PRY-0092,Moquegua,Carretera Nacional,Paralizado,2348733.79,999.0,0.848,0.887,20260405_211439,sqlserver_indumaq
PRY-0093,AREQUIPA,Bypass,NULL,12689293.17,45.0,0.899,0.856,20260405_211439,sqlserver_indumaq
PRY-0094,Cusco,Regional,en ejecucion,1366489.81,28.5,1.0,1.019,20260405_211439,sqlserver_indumaq
PRY-0095,Moquegua,Bypass,Paralizado,5578932.51,15.5,1.069,0.898,20260405_211439,sqlserver_indumaq
PRY-0096,Arequipa,Bypass,Paralizado,13836200.72,78.4,1.125,1.124,20260405_211439,sqlserver_indumaq
PRY-0097,AREQUIPA,Trocha,Planificado,14431113.86,71.5,0.878,0.915,20260405_211439,sqlserver_indumaq
PRY-0098,Moquegua,Carretera Nacional,Planificado,9788186.61,14.6,1.014,1.08,20260405_211439,sqlserver_indumaq
PRY-0099,,Carretera Nacional,NULL,10485400.6,63.3,0.985,0.978,20260405_211439,sqlserver_indumaq
PRY-0100,Tacna,??,Planificado,1115590.09,79.3,0.922,0.877,20260405_211439,sqlserver_indumaq
PRY-0101,Puno,Puente,en ejecucion,7959964.95,77.3,0.924,0.91,20260405_211439,sqlserver_indumaq
PRY-0102,Cusco,Regional,NULL,-999.0,9.2,1.013,0.921,20260405_211439,sqlserver_indumaq
PRY-0103,Tacna,??,en ejecucion,5431460.82,68.6,0.97,1.098,20260405_211439,sqlserver_indumaq
PRY-0104,Moquegua,??,en ejecucion,1494654.1,71.6,0.969,0.941,20260405_211439,sqlserver_indumaq
PRY-0105,Tacna,Regional,Paralizado,3819160.2,86.2,1.138,0.809,20260405_211439,sqlserver_indumaq
PRY-0106,AREQUIPA,??,Concluido,5690767.08,50.8,1.25,0.99,20260405_211439,sqlserver_indumaq
PRY-0107,Tacna,Carretera Nacional,Paralizado,6809558.8,46.1,0.691,0.983,20260405_211439,sqlserver_indumaq
PRY-0108,arequipa,Bypass,Planificado,9068437.52,96.5,1.049,0.889,20260405_211439,sqlserver_indumaq
PRY-0109,arequipa,Puente,Concluido,-999.0,79.7,0.744,0.854,20260405_211439,sqlserver_indumaq
PRY-0110,Tacna,??,En ejecución,5105662.16,55.9,1.045,0.693,20260405_211439,sqlserver_indumaq
PRY-0111,Moquegua,Puente,Concluido,5269829.52,33.1,0.9,0.864,20260405_211439,sqlserver_indumaq
PRY-0112,Tacna,Bypass,Planificado,785528.82,84.5,0.766,0.914,20260405_211439,sqlserver_indumaq
PRY-0113,Tacna,Puente,Planificado,1092685.47,45.5,1.081,0.973,20260405_211439,sqlserver_indumaq
PRY-0114,Tacna,Bypass,Planificado,4238414.57,9.3,1.172,1.15,20260405_211439,sqlserver_indumaq
PRY-0115,Arequipa,Puente,NULL,11233552.47,45.5,0.964,0.788,20260405_211439,sqlserver_indumaq
PRY-0116,AREQUIPA,Carretera Nacional,Planificado,9610550.54,87.2,0.996,1.043,20260405_211439,sqlserver_indumaq
PRY-0117,arequipa,??,En ejecución,11661940.8,44.8,0.926,0.777,20260405_211439,sqlserver_indumaq
PRY-0118,Tacna,Puente,NULL,11649331.83,1.4,0.925,0.884,20260405_211439,sqlserver_indumaq
PRY-0119,Moquegua,Puente,Concluido,12920228.28,61.1,1.121,1.149,20260405_211439,sqlserver_indumaq
PRY-0120,Cusco,Regional,En ejecución,-999.0,99.6,0.999,0.815,20260405_211439,sqlserver_indumaq
PRY-0121,arequipa,Puente,Paralizado,-999.0,81.7,0.916,0.949,20260405_211439,sqlserver_indumaq
PRY-0122,arequipa,??,Concluido,13532965.68,61.7,1.082,0.982,20260405_211439,sqlserver_indumaq
PRY-0123,,??,Paralizado,9007398.91,91.4,1.151,0.626,20260405_211439,sqlserver_indumaq
PRY-0124,,Bypass,Paralizado,9028286.22,81.4,0.988,1.021,20260405_211439,sqlserver_indumaq
PRY-0125,,Carretera Nacional,NULL,996872.09,49.9,1.076,0.923,20260405_211439,sqlserver_indumaq
PRY-0126,Arequipa,Puente,Paralizado,14978635.38,59.1,0.702,0.814,20260405_211439,sqlserver_indumaq
PRY-0127,Puno,Carretera Nacional,NULL,2407851.96,73.1,0.936,0.963,20260405_211439,sqlserver_indumaq
PRY-0128,,Carretera Nacional,Planificado,-999.0,84.6,0.755,0.793,20260405_211439,sqlserver_indumaq
PRY-0129,Puno,Puente,Concluido,12404720.33,5.8,0.928,0.834,20260405_211439,sqlserver_indumaq
PRY-0130,Moquegua,Regional,en ejecucion,5909290.67,77.5,0.757,0.74,20260405_211439,sqlserver_indumaq
PRY-0131,Arequipa,Trocha,Concluido,3354354.79,44.8,0.757,0.951,20260405_211439,sqlserver_indumaq
PRY-0132,arequipa,Puente,Planificado,1932018.36,66.1,0.652,0.912,20260405_211439,sqlserver_indumaq
PRY-0133,,Trocha,Concluido,11354787.08,76.5,0.866,0.993,20260405_211439,sqlserver_indumaq
PRY-0134,AREQUIPA,Puente,NULL,7063476.17,54.0,0.891,1.004,20260405_211439,sqlserver_indumaq
PRY-0135,Arequipa,Carretera Nacional,Planificado,10848907.51,15.9,0.811,0.94,20260405_211439,sqlserver_indumaq
PRY-0136,Puno,Puente,Concluido,13773410.91,41.0,0.83,0.85,20260405_211439,sqlserver_indumaq
PRY-0137,Cusco,Trocha,Concluido,2625464.17,7.7,1.086,0.876,20260405_211439,sqlserver_indumaq
PRY-0138,Tacna,Carretera Nacional,NULL,13827979.51,68.9,1.097,0.892,20260405_211439,sqlserver_indumaq
PRY-0139,Cusco,Puente,Paralizado,6468583.66,95.4,0.825,0.85,20260405_211439,sqlserver_indumaq
PRY-0140,Arequipa,Regional,En ejecución,4926371.64,999.0,0.976,1.008,20260405_211439,sqlserver_indumaq
PRY-0141,,Bypass,Concluido,14174402.78,39.0,0.831,1.342,20260405_211439,sqlserver_indumaq
PRY-0142,Moquegua,Puente,en ejecucion,14864449.54,58.4,0.969,0.943,20260405_211439,sqlserver_indumaq
PRY-0143,Cusco,Regional,En ejecución,3383937.16,30.4,1.029,0.925,20260405_211439,sqlserver_indumaq
PRY-0144,Cusco,Trocha,en ejecucion,-999.0,54.1,0.733,0.751,20260405_211439,sqlserver_indumaq
PRY-0145,,??,NULL,2044182.05,30.1,0.976,0.904,20260405_211439,sqlserver_indumaq
PRY-0146,Arequipa,Regional,Concluido,9938253.06,73.8,1.001,1.047,20260405_211439,sqlserver_indumaq
PRY-0147,arequipa,Bypass,Planificado,12496041.8,25.9,1.113,0.929,20260405_211439,sqlserver_indumaq
PRY-0148,,Regional,NULL,10425228.92,96.4,1.231,1.039,20260405_211439,sqlserver_indumaq
PRY-0149,Puno,??,Concluido,6551330.56,66.2,1.102,0.721,20260405_211439,sqlserver_indumaq
PRY-0150,arequipa,Puente,Paralizado,6054462.21,6.9,0.992,0.86,20260405_211439,sqlserver_indumaq
PRY-0151,Arequipa,Regional,Planificado,6200275.02,1.1,1.14,0.901,20260405_211439,sqlserver_indumaq
PRY-0152,Cusco,Puente,en ejecucion,9050821.36,99.7,0.878,0.867,20260405_211439,sqlserver_indumaq
PRY-0153,Cusco,Trocha,Concluido,13282725.42,22.1,0.752,1.097,20260405_211439,sqlserver_indumaq
PRY-0154,Moquegua,Bypass,NULL,-999.0,31.3,1.105,0.999,20260405_211439,sqlserver_indumaq
PRY-0155,Cusco,??,NULL,1276179.49,20.8,1.052,1.121,20260405_211439,sqlserver_indumaq
PRY-0156,arequipa,Regional,Concluido,3133524.72,92.8,1.206,0.96,20260405_211439,sqlserver_indumaq
PRY-0157,arequipa,Bypass,Planificado,2127252.58,65.2,0.877,0.964,20260405_211439,sqlserver_indumaq
PRY-0158,Moquegua,Regional,Concluido,3303352.29,50.4,0.7,0.792,20260405_211439,sqlserver_indumaq
PRY-0159,Cusco,Bypass,En ejecución,5525813.25,55.8,0.825,0.898,20260405_211439,sqlserver_indumaq
PRY-0160,Puno,Regional,en ejecucion,7844709.4,31.8,1.004,0.973,20260405_211439,sqlserver_indumaq
PRY-0161,Cusco,Trocha,Concluido,9627187.79,61.4,0.661,1.019,20260405_211439,sqlserver_indumaq
PRY-0162,AREQUIPA,??,Concluido,11116062.18,42.0,0.715,0.832,20260405_211439,sqlserver_indumaq
PRY-0163,Moquegua,??,Planificado,13406617.35,19.9,1.16,0.859,20260405_211439,sqlserver_indumaq
PRY-0164,AREQUIPA,Trocha,Paralizado,14841782.34,65.7,1.359,1.018,20260405_211439,sqlserver_indumaq
PRY-0165,Moquegua,Puente,NULL,10111418.94,37.4,1.145,1.066,20260405_211439,sqlserver_indumaq
PRY-0166,Moquegua,Regional,en ejecucion,12757785.52,78.5,0.852,0.756,20260405_211439,sqlserver_indumaq
PRY-0167,Cusco,Trocha,En ejecución,11781563.28,41.5,1.085,1.128,20260405_211439,sqlserver_indumaq
PRY-0168,AREQUIPA,Trocha,NULL,4959214.57,50.8,0.923,0.768,20260405_211439,sqlserver_indumaq
PRY-0169,Moquegua,Bypass,En ejecución,13197537.92,78.7,0.83,1.116,20260405_211439,sqlserver_indumaq
PRY-0170,Tacna,Trocha,Planificado,1120065.5,44.8,0.869,0.928,20260405_211439,sqlserver_indumaq
PRY-0171,Puno,Trocha,En ejecución,505326.48,96.6,1.162,1.113,20260405_211439,sqlserver_indumaq
PRY-0172,Cusco,Puente,Paralizado,4469123.13,999.0,0.834,1.111,20260405_211439,sqlserver_indumaq
PRY-0173,Moquegua,Carretera Nacional,Concluido,7200414.18,999.0,0.822,0.876,20260405_211439,sqlserver_indumaq
PRY-0174,AREQUIPA,??,en ejecucion,9756261.98,95.4,0.836,0.924,20260405_211439,sqlserver_indumaq
PRY-0175,Puno,Bypass,NULL,-999.0,38.9,1.149,0.886,20260405_211439,sqlserver_indumaq
PRY-0176,Cusco,Trocha,Concluido,10258646.94,58.0,0.879,0.91,20260405_211439,sqlserver_indumaq
PRY-0177,Puno,Carretera Nacional,Planificado,12126330.07,69.4,1.131,1.068,20260405_211439,sqlserver_indumaq
PRY-0178,Tacna,Carretera Nacional,Concluido,3187037.33,67.3,1.277,0.905,20260405_211439,sqlserver_indumaq
PRY-0179,Cusco,Trocha,Paralizado,6519316.2,95.3,1.03,1.131,20260405_211439,sqlserver_indumaq
